Tabela de Fatoriais:

| Número | Fatorial Duplo | Fatorial Normal | Diferença |
|--------|----------------|------------------|-----------|
|    2   |             2     |               2    |        0  |
|    3   |             3     |               6    |        3  |
|    4   |             8     |              24    |       16  |
|    5   |            15     |             120    |      105  |
|    6   |            48     |             720    |      672  |
|    7   |           105     |            5040    |     4935  |
|    8   |           384     |           40320    |    39936  |
|    9   |           945     |          362880    |   361935  |
|   10   |          3840     |         3628800    |   3624960  |
|   11   |         10395     |        39916800    |   39906405  |
|   12   |         46080     |       479001600    |   478955520  |
|   13   |        135135     |      1932053504    |   1931918369  |
|   14   |        645120     |      1278945280    |   1278300160  |
|   15   |       2027025     |      2004310016    |   2002282991  |
|   16   |      10321920     |      2004189184    |   1993867264  |
|   17   |      34459425     |      -288522240    |   -322981665  |
|   18   |      185794560     |      -898433024    |   -1084227584  |
|   19   |      654729075     |       109641728    |   -545087347  |
|   20   |      -579076096     |      -2102132736    |   -1523056640  |
